"年月日","牡羊座","牡牛座","双子座","蟹座","獅子座","乙女座","天秤座","蠍座","射手座","山羊座","水瓶座","魚座"
"20100222","8","1","10","11","12","3","5","6","2","9","7","4"
"20100223","2","9","7","11","8","1","12","3","10","6","5","4"
"20100224","9","6","4","2","7","10","11","3","8","12","1","5"
"20100225","10","1","12","8","7","4","2","6","3","9","5","11"
"20100226","12","5","3","7","1","9","2","11","6","8","10","4"
"20100227","8","7","9","4","11","12","2","10","3","5","6","1"
"20100228","10","11","2","1","6","9","5","12","3","7","8","4"
"20100301","5","4","6","3","1","12","7","11","9","8","10","2"
"20100302","11","1","9","5","8","7","6","12","4","10","3","2"
"20100303","6","4","3","5","1","9","8","7","10","12","2","11"
"20100304","5","9","12","7","10","11","1","6","8","3","2","4"
"20100305","3","9","12","1","5","7","8","4","10","11","2","6"
"20100306","10","3","7","4","11","8","6","9","2","1","5","12"
"20100307","1","9","6","12","2","4","7","3","8","10","5","11"
"20100308","6","4","10","5","3","8","1","9","2","7","11","12"
"20100309","3","10","2","4","9","11","8","12","1","7","6","5"
"20100310","4","3","2","7","10","5","1","12","8","9","11","6"
"20100311","5","2","3","6","4","10","1","12","8","9","7","11"
"20100312","9","5","4","3","2","6","1","8","12","10","11","7"
"20100313","11","1","7","9","12","4","6","10","2","8","5","3"
"20100314","12","4","3","7","2","5","10","1","6","11","9","8"
"20100315","11","10","9","7","8","1","4","5","12","2","6","3"
"20100316","2","3","4","7","1","11","12","5","10","8","9","6"
"20100317","5","4","1","2","12","7","10","3","8","11","6","9"
"20100318","7","9","6","3","11","4","2","12","5","1","10","8"
"20100319","7","12","11","9","2","10","3","6","8","4","5","1"
"20100320","1","5","4","10","9","7","12","11","8","3","6","2"
"20100321","11","4","6","1","8","9","5","7","12","2","3","10"
"20100322","1","8","6","7","11","4","9","2","10","5","3","12"
"20100323","8","9","10","11","1","2","6","5","7","12","3","4"
"20100324","9","7","11","8","4","3","5","6","12","10","1","2"
"20100325","12","2","3","1","6","11","7","5","10","8","4","9"
"20100326","8","7","1","5","11","4","6","3","12","2","10","9"
"20100327","1","8","11","6","3","9","7","12","5","4","10","2"
"20100328","10","6","8","3","2","11","7","4","12","5","9","1"
"20100329","2","7","8","1","6","9","5","12","10","3","4","11"
"20100330","9","11","10","6","1","2","3","7","4","5","8","12"
"20100331","5","10","12","3","7","2","9","8","11","4","6","1"
"20100401","12","1","4","8","10","7","3","5","6","11","9","2"
"20100402","3","2","11","8","1","12","7","4","9","6","10","5"
"20100403","11","4","3","10","1","9","5","7","6","2","12","8"
"20100404","12","7","11","6","9","4","3","10","2","5","1","8"
"20100405","7","2","1","4","11","5","6","12","9","8","3","10"
"20100406","10","6","11","3","5","1","7","4","8","12","2","9"
"20100407","3","7","12","9","1","10","8","2","6","4","5","11"
"20100408","9","10","6","11","4","12","7","1","3","2","5","8"
"20100409","5","9","10","8","7","1","3","6","4","11","12","2"
"20100410","12","4","7","1","8","2","3","10","5","11","6","9"
"20100411","9","8","6","7","12","11","5","2","4","3","1","10"
"20100412","2","11","10","1","12","8","6","3","9","4","7","5"
"20100413","2","1","11","12","3","8","9","7","10","6","4","5"
"20100414","5","2","11","7","10","12","9","4","8","6","3","1"
"20100415","4","6","3","9","12","5","2","8","7","10","1","11"
"20100416","5","6","3","4","10","7","1","11","9","8","12","2"
"20100417","6","11","10","3","2","8","1","5","4","7","12","9"
"20100418","11","7","6","1","9","2","10","5","3","4","8","12"
"20100419","7","4","8","10","6","12","9","5","11","3","2","1"
"20100420","8","11","9","12","5","7","2","4","3","1","6","10"
"20100421","2","3","12","6","9","11","5","10","7","8","1","4"
"20100422","10","6","1","4","11","7","12","3","9","8","5","2"
"20100423","4","6","8","12","7","10","1","2","5","3","9","11"
"20100424","5","12","4","2","7","8","6","11","3","10","9","1"
"20100425","8","5","7","10","6","9","4","12","2","11","1","3"
"20100426","8","12","2","6","1","4","11","10","5","7","3","9"
"20100427","9","4","12","6","8","2","1","11","7","5","10","3"
"20100428","8","9","10","3","7","11","6","2","5","4","1","12"
"20100429","9","5","12","2","11","7","6","3","10","4","8","1"
"20100430","1","11","10","3","5","2","7","6","12","4","8","9"
"20100501","5","11","6","10","8","7","4","12","1","9","3","2"
"20100502","7","5","1","6","3","11","9","12","10","2","4","8"
"20100503","3","6","10","11","2","5","12","7","9","4","8","1"
"20100504","10","3","6","1","8","5","4","11","12","7","9","2"
"20100505","10","4","9","2","1","6","12","3","11","7","8","5"
"20100506","3","10","6","7","12","11","8","1","5","4","2","9"
"20100507","5","10","4","8","3","12","9","1","6","11","7","2"
"20100508","12","10","7","6","11","1","3","5","4","8","2","9"
"20100509","1","10","3","5","9","7","12","8","6","11","4","2"
"20100510","6","7","5","8","2","12","10","1","9","4","11","3"
"20100511","7","4","9","3","2","8","12","10","11","6","1","5"
"20100512","11","2","7","1","9","10","6","5","12","8","4","3"
"20100513","5","2","11","7","4","10","8","12","9","3","6","1"
"20100514","10","3","6","11","4","2","12","5","7","8","9","1"
"20100515","12","8","10","3","5","1","7","4","9","6","11","2"
"20100516","12","5","2","4","8","6","11","3","9","1","10","7"
"20100517","6","4","9","5","11","7","10","2","1","8","12","3"
"20100518","1","5","7","9","10","11","2","8","6","4","12","3"
"20100519","1","7","2","5","11","6","10","9","4","3","12","8"
"20100520","12","6","10","4","8","1","7","3","11","5","9","2"
"20100521","6","11","3","8","7","2","10","9","12","5","1","4"
"20100522","9","6","12","2","3","7","4","10","11","1","5","8"
"20100523","12","9","7","1","11","10","3","5","4","8","2","6"
"20100524","2","7","12","9","4","6","8","5","11","3","10","1"
"20100525","3","12","11","6","9","7","5","4","1","8","10","2"
"20100526","8","9","3","4","1","12","10","2","6","7","11","5"
"20100527","6","5","2","8","3","4","11","7","12","9","1","10"
"20100528","2","3","6","7","1","12","9","4","10","5","8","11"
"20100529","9","12","6","11","1","8","4","2","7","3","10","5"
"20100530","2","1","7","11","5","12","4","9","10","8","3","6"
"20100531","10","6","11","4","5","9","12","3","8","1","7","2"
"20100601","3","9","4","2","6","5","8","1","7","11","12","10"
"20100602","1","5","7","9","8","12","2","10","3","4","11","6"
"20100603","7","3","5","11","9","8","4","6","1","2","12","10"
"20100604","5","7","6","4","9","2","8","12","3","1","10","11"
"20100605","8","10","2","11","9","6","12","5","7","4","3","1"
"20100606","8","9","10","7","2","11","6","3","12","4","1","5"
"20100607","10","8","11","9","3","5","2","1","7","12","6","4"
"20100608","10","8","5","6","12","1","3","7","4","2","11","9"
"20100609","3","5","8","12","2","7","10","6","4","1","9","11"
"20100610","6","7","10","1","11","4","5","9","12","3","8","2"
"20100611","5","3","4","7","10","11","2","9","6","1","12","8"
"20100612","5","7","2","6","3","9","8","11","4","1","10","12"
"20100613","9","6","1","7","11","8","12","5","4","2","3","10"
"20100614","2","11","12","1","3","5","9","6","4","8","7","10"
"20100615","12","11","8","3","2","6","9","5","7","1","10","4"
"20100616","4","1","3","7","10","8","2","12","5","6","11","9"
"20100617","5","10","8","7","4","12","3","9","1","2","11","6"
"20100618","1","2","8","9","12","3","10","4","5","11","7","6"
"20100619","6","3","7","2","11","9","12","1","8","5","4","10"
"20100620","1","9","8","3","4","5","2","12","10","11","7","6"
"20100621","7","9","6","3","1","8","4","2","10","11","12","5"
"20100622","5","12","7","4","3","11","8","10","9","6","2","1"
"20100623","8","1","5","11","12","9","4","10","7","6","2","3"
"20100624","3","6","11","8","4","9","12","1","2","7","10","5"
"20100625","2","7","4","10","1","8","12","9","11","3","6","5"
"20100626","4","12","7","2","1","5","6","11","9","8","10","3"
"20100627","6","8","12","10","5","4","7","2","11","9","1","3"
"20100628","11","3","7","2","10","8","1","12","4","5","6","9"
"20100629","2","10","3","1","8","6","5","12","11","4","7","9"
"20100630","11","2","9","3","7","10","6","12","5","8","1","4"
"20100701","12","2","10","5","1","6","3","9","7","8","4","11"
"20100702","3","6","2","9","1","4","7","12","5","8","11","10"
"20100703","10","3","8","1","7","12","2","5","6","11","4","9"
"20100704","6","8","1","11","12","7","9","10","3","2","5","4"
"20100705","12","6","9","1","11","3","10","5","8","4","2","7"
"20100706","7","8","10","12","6","5","11","4","9","2","3","1"
"20100707","5","3","10","9","1","12","7","11","6","8","4","2"
"20100708","9","1","6","12","7","2","5","4","3","10","11","8"
"20100709","2","4","12","8","9","11","6","5","1","3","7","10"
"20100710","9","7","12","10","8","2","6","5","4","1","11","3"
"20100711","3","11","8","5","4","7","9","2","1","6","12","10"
"20100712","7","10","1","4","12","9","5","8","6","2","3","11"
"20100713","12","11","9","2","3","7","5","10","1","8","6","4"
"20100714","8","5","10","3","12","1","2","6","11","9","7","4"
"20100715","3","12","5","8","11","6","9","7","4","10","1","2"
"20100716","4","8","10","6","3","7","9","2","11","12","5","1"
"20100717","2","4","5","3","10","1","6","11","7","9","12","8"
"20100718","6","7","5","12","11","4","1","9","8","2","3","10"
"20100719","3","7","10","6","5","4","8","11","12","1","2","9"
"20100720","2","3","10","12","1","4","6","11","5","7","8","9"
"20100721","5","9","2","3","7","4","8","1","11","6","12","10"
"20100722","5","8","1","11","7","4","3","2","6","10","9","12"
"20100723","9","10","5","4","8","7","12","3","2","6","1","11"
"20100724","11","7","3","9","5","12","1","8","10","2","4","6"
"20100725","10","12","5","9","1","3","7","4","6","8","2","11"
"20100726","3","12","1","6","10","11","9","4","7","2","8","5"
"20100727","4","2","11","1","8","3","10","5","6","9","7","12"
"20100728","7","3","1","2","11","4","9","12","5","6","8","10"
"20100729","11","3","10","2","5","1","4","12","6","7","9","8"
"20100730","12","11","9","3","5","4","7","8","10","6","2","1"
"20100731","1","10","8","3","4","12","9","11","7","6","5","2"
"20100801","6","7","9","1","4","3","10","8","2","5","12","11"
"20100802","4","5","2","3","8","9","7","12","10","11","6","1"
"20100803","2","11","8","1","12","3","5","6","4","7","9","10"
"20100804","3","1","7","2","5","11","6","9","4","12","10","8"
"20100805","12","10","6","3","2","9","4","8","1","5","7","11"
"20100806","8","7","9","5","11","2","6","3","4","12","10","1"
"20100807","2","8","9","4","5","7","3","11","6","1","12","10"
"20100808","2","4","11","3","8","6","7","10","12","1","9","5"
"20100809","8","4","7","10","1","3","5","2","9","12","6","11"
"20100810","1","6","8","10","2","3","11","9","5","12","4","7"
"20100811","11","1","8","6","4","3","9","12","2","7","10","5"
"20100812","9","6","8","2","3","1","12","7","11","5","10","4"
"20100813","3","12","4","9","2","1","8","10","11","6","7","5"
"20100814","3","7","5","9","12","6","1","2","11","8","4","10"
"20100815","5","2","4","7","8","11","6","12","3","1","10","9"
"20100816","8","7","9","6","2","5","1","10","12","3","4","11"
"20100817","10","3","4","11","7","12","9","8","2","5","1","6"
"20100818","5","12","2","7","11","8","9","4","1","3","6","10"
"20100819","11","3","6","2","5","1","12","8","4","7","10","9"
"20100820","1","11","8","4","3","9","12","10","7","6","2","5"
"20100821","9","6","3","8","5","12","1","7","10","11","2","4"
"20100822","10","5","8","6","11","9","4","1","7","12","2","3"
"20100823","1","3","8","6","4","11","12","7","5","2","9","10"
"20100824","12","11","10","4","1","9","3","2","5","8","7","6"
"20100825","3","11","1","2","12","9","6","4","7","8","10","5"
"20100826","6","3","2","9","4","7","5","12","11","10","1","8"
"20100827","6","5","12","10","2","9","3","8","4","1","11","7"
"20100828","11","1","12","10","6","5","3","4","9","7","8","2"
"20100829","9","3","10","8","7","4","1","2","12","11","6","5"
"20100830","8","7","5","1","9","10","11","12","4","2","3","6"
"20100831","10","7","12","8","4","11","5","2","6","9","3","1"
"20100901","1","11","6","8","5","12","10","9","4","2","7","3"
"20100902","3","6","1","7","4","8","9","11","12","2","5","10"
"20100903","11","7","8","4","12","10","3","1","5","9","6","2"
"20100904","4","7","6","1","2","11","5","9","12","10","8","3"
"20100905","2","10","4","3","9","5","6","11","7","8","12","1"
"20100906","9","8","10","3","7","11","5","1","4","6","2","12"
"20100907","12","3","9","5","10","11","7","2","6","8","4","1"
"20100908","9","1","10","3","8","12","4","7","5","2","6","11"
"20100909","1","5","7","4","8","12","6","11","9","10","3","2"
"20100910","10","11","9","12","5","3","4","7","2","8","6","1"
"20100911","9","11","10","4","12","5","7","2","8","1","6","3"
"20100912","2","8","12","3","6","9","10","7","4","11","5","1"
"20100913","4","6","8","5","9","10","3","7","2","1","12","11"
"20100914","3","8","2","11","9","7","4","1","6","5","10","12"
"20100915","5","6","7","12","2","10","8","4","11","9","1","3"
"20100916","3","7","12","10","6","11","4","8","5","9","1","2"
"20100917","4","8","10","1","9","6","11","2","7","12","3","5"
"20100918","10","8","3","5","11","2","9","4","12","1","7","6"
"20100919","6","4","1","5","7","8","12","9","11","3","10","2"
"20100920","4","3","7","1","5","8","2","6","11","12","9","10"
"20100921","2","5","4","11","1","8","6","12","9","7","3","10"
"20100922","4","5","9","1","6","8","12","7","11","2","3","10"
"20100923","11","12","1","9","10","3","8","7","2","5","4","6"
"20100924","2","10","9","4","6","12","8","3","5","1","11","7"
"20100925","10","7","9","2","12","11","5","8","6","4","3","1"
"20100926","9","2","3","10","11","12","8","1","6","4","7","5"
"20100927","1","9","2","7","8","5","11","4","3","12","6","10"
"20100928","5","11","7","10","6","9","2","8","4","12","3","1"
"20100929","10","7","9","2","6","1","12","11","5","3","4","8"
"20100930","7","3","8","11","9","4","6","5","12","1","2","10"
"20101001","7","5","11","4","9","12","2","10","3","8","6","1"
"20101002","12","7","1","10","2","11","5","8","3","9","4","6"
"20101003","2","10","3","11","1","5","7","4","8","12","9","6"
"20101004","6","8","10","12","1","7","9","3","2","11","4","5"
"20101005","12","1","8","3","10","9","6","2","11","5","7","4"
"20101006","11","2","4","1","8","9","7","10","6","5","12","3"
"20101007","3","7","10","11","6","9","5","12","8","1","2","4"
"20101008","10","4","1","5","6","3","2","11","8","12","9","7"
"20101009","3","5","2","7","10","9","6","8","11","12","4","1"
"20101010","5","1","12","6","8","2","11","4","10","7","9","3"
"20101011","5","8","2","1","6","4","3","11","7","12","9","10"
"20101012","9","12","5","1","6","7","4","11","3","10","8","2"
"20101013","9","3","4","11","6","2","5","12","7","1","8","10"
"20101014","10","11","7","3","1","2","8","12","5","9","6","4"
"20101015","10","7","5","11","6","2","8","9","12","4","1","3"
"20101016","10","8","1","2","9","4","7","11","5","6","12","3"
"20101017","12","3","5","2","6","4","11","1","8","7","9","10"
"20101018","10","7","6","1","3","12","4","9","2","11","5","8"
"20101019","12","10","8","1","6","5","2","7","11","3","4","9"
"20101020","1","4","12","11","5","2","9","3","7","10","6","8"
"20101021","7","1","5","3","11","12","2","4","6","9","10","8"
"20101022","4","3","12","11","2","10","6","5","8","9","7","1"
"20101023","12","6","4","9","7","2","1","8","11","10","5","3"
"20101024","2","5","7","12","9","3","8","6","10","4","11","1"
"20101025","2","9","10","7","4","8","5","12","1","3","11","6"
"20101026","12","3","11","2","6","9","1","5","10","8","7","4"
"20101027","3","9","8","10","2","4","7","1","5","6","11","12"
"20101028","11","1","10","8","6","5","3","4","7","12","9","2"
"20101029","6","9","11","5","3","10","4","7","12","8","2","1"
"20101030","7","5","9","10","12","6","4","11","2","1","3","8"
"20101031","5","2","11","8","6","1","7","4","3","9","12","10"
"20101101","10","3","5","6","8","12","9","4","7","1","11","2"
"20101102","6","4","10","12","5","1","9","7","11","8","2","3"
"20101103","7","5","2","11","4","10","6","8","1","9","12","3"
"20101104","4","7","9","1","2","11","12","10","8","3","6","5"
"20101105","10","1","5","11","7","6","3","12","4","2","9","8"
"20101106","10","3","7","4","12","1","8","9","2","6","11","5"
"20101107","3","6","11","4","10","2","7","5","9","8","1","12"
"20101108","12","5","9","2","6","4","7","3","1","8","11","10"
"20101109","10","7","11","9","6","4","2","3","1","5","8","12"
"20101110","7","10","11","6","4","3","1","5","12","9","2","8"
"20101111","10","9","3","8","7","6","2","1","5","12","4","11"
"20101112","9","5","3","7","2","11","12","4","10","1","6","8"
"20101113","1","4","5","8","7","9","6","2","10","12","3","11"
"20101114","7","8","5","12","6","3","1","4","2","9","10","11"
"20101115","7","10","4","6","1","5","12","9","2","8","3","11"
"20101116","4","7","9","3","11","2","12","6","1","10","8","5"
"20101117","6","8","4","7","5","2","12","10","1","3","9","11"
"20101118","1","10","5","8","2","3","11","6","7","9","4","12"
"20101119","1","8","2","12","11","3","4","9","5","10","7","6"
"20101120","2","5","11","12","3","6","1","4","8","10","7","9"
"20101121","2","1","5","12","6","11","3","10","4","7","9","8"
"20101122","4","6","8","5","11","12","7","1","10","2","9","3"
"20101123","6","3","2","7","5","8","9","1","11","12","4","10"
"20101124","9","7","4","11","6","10","12","5","3","8","2","1"
"20101125","9","12","6","1","5","7","11","8","4","10","2","3"
"20101126","4","5","6","1","9","12","8","3","2","7","10","11"
"20101127","11","7","6","8","5","2","3","9","10","4","1","12"
"20101128","2","12","7","11","6","5","9","3","10","1","8","4"
"20101129","12","4","7","8","2","6","11","3","10","1","9","5"
"20101130","1","2","3","12","6","4","7","11","5","10","9","8"
"20101201","9","3","8","4","7","6","2","5","11","12","10","1"
"20101202","12","3","8","7","9","10","2","11","6","5","1","4"
"20101203","2","9","10","11","8","6","12","4","3","5","7","1"
"20101204","12","2","6","8","9","4","1","10","5","3","7","11"
"20101205","5","4","2","7","1","12","11","8","3","9","6","10"
"20101206","11","1","8","4","12","6","5","7","3","9","10","2"
"20101207","4","9","2","5","3","12","10","6","1","7","11","8"
"20101208","8","1","5","12","7","9","10","11","4","3","2","6"
"20101209","6","7","3","11","2","5","10","1","12","4","9","8"
"20101210","12","8","11","9","2","4","6","10","1","5","7","3"
"20101211","11","5","4","10","9","6","12","3","1","8","7","2"
"20101212","6","4","12","8","11","5","10","9","2","7","1","3"
"20101213","5","3","4","9","11","12","7","8","1","10","2","6"
"20101214","1","10","7","11","3","9","12","2","6","5","8","4"
"20101215","11","1","3","6","5","9","4","8","12","10","2","7"
"20101216","6","1","7","9","2","5","3","10","12","4","11","8"
"20101217","1","10","9","6","5","3","11","2","7","4","12","8"
"20101218","7","3","8","12","10","6","1","2","9","11","4","5"
"20101219","1","4","10","6","5","7","9","11","3","12","2","8"
"20101220","5","4","8","6","9","10","7","2","11","1","3","12"
"20101221","6","11","3","9","1","8","10","12","7","5","2","4"
"20101222","12","10","8","6","2","11","7","9","1","4","5","3"
"20101223","5","7","11","1","4","2","9","6","12","10","8","3"
"20101224","9","12","1","7","11","4","10","8","6","2","3","5"
"20101225","3","1","8","12","10","4","5","6","2","7","11","9"
"20101226","5","9","6","11","3","2","10","8","4","7","1","12"
"20101227","8","6","10","2","11","3","9","5","12","7","4","1"
"20101228","3","5","6","1","9","12","8","7","10","4","11","2"
"20101229","4","5","8","2","1","9","11","7","6","12","10","3"
"20101230","5","12","9","8","2","6","11","4","3","10","1","7"
"20101231","10","6","11","2","9","5","3","7","4","12","8","1"
"20110101","7","11","2","10","8","4","12","1","5","6","3","9"
"20110102","2","1","8","10","4","11","9","5","12","3","7","6"
"20110103","3","4","10","7","8","9","2","1","6","11","12","5"
"20110104","11","1","9","6","2","5","12","10","3","4","8","7"
"20110105","3","6","11","5","1","12","9","4","10","8","7","2"
"20110106","2","12","1","8","5","11","10","7","6","4","9","3"
"20110107","1","10","2","8","3","5","12","4","6","9","7","11"
"20110108","6","11","4","7","10","5","3","9","2","12","1","8"
"20110109","11","4","10","9","6","12","5","1","3","8","2","7"
"20110110","8","10","6","11","7","5","12","3","9","4","2","1"
"20110111","9","11","2","5","6","8","4","3","10","12","1","7"
"20110112","7","9","6","8","5","12","2","4","3","10","1","11"
"20110113","3","6","8","10","12","7","2","11","9","5","4","1"
"20110114","7","9","1","8","11","12","4","6","2","5","3","10"
"20110115","5","6","7","4","10","8","11","1","12","9","3","2"
"20110116","12","3","10","5","7","6","11","9","1","8","4","2"
"20110117","12","4","10","5","11","2","8","9","3","6","1","7"
"20110118","5","10","6","7","3","9","2","8","1","11","4","12"
"20110119","6","3","2","9","12","5","10","7","8","4","1","11"
"20110120","6","11","2","5","10","4","7","8","1","12","3","9"
"20110121","10","12","2","11","7","9","5","1","8","3","4","6"
"20110122","6","9","7","3","12","8","5","1","4","10","2","11"
"20110123","9","5","6","4","8","10","3","1","7","12","11","2"
"20110124","6","12","1","5","8","7","2","3","9","10","4","11"
"20110125","4","2","6","9","7","12","3","8","11","1","10","5"
"20110126","3","5","8","9","1","4","6","7","2","12","11","10"
"20110127","1","10","9","3","4","2","12","8","6","11","5","7"
"20110128","2","3","1","7","12","4","11","5","6","9","8","10"
"20110129","2","12","3","8","6","9","4","10","7","1","5","11"
"20110130","12","5","6","4","3","9","11","2","1","7","8","10"
"20110131","5","3","9","11","10","2","8","12","4","6","1","7"
"20110201","4","7","3","5","12","2","8","9","1","11","10","6"
"20110202","4","11","1","3","12","9","6","8","10","5","7","2"
"20110203","8","2","11","7","12","6","4","9","3","10","5","1"
"20110204","10","12","1","5","3","6","7","4","9","8","11","2"
"20110205","9","7","4","5","6","11","1","10","2","12","3","8"
"20110206","7","2","9","10","11","3","4","8","5","12","1","6"
"20110207","7","10","8","12","1","9","5","2","4","6","3","11"
"20110208","9","1","12","2","10","6","5","11","7","4","8","3"
"20110209","12","8","4","11","3","6","9","2","5","10","7","1"
"20110210","8","12","2","6","10","3","9","7","11","4","5","1"
"20110211","12","10","9","8","11","2","7","3","1","4","5","6"
"20110212","1","12","10","6","9","3","4","8","7","2","11","5"
"20110213","12","7","8","10","2","5","4","11","1","6","3","9"
"20110214","2","10","7","12","5","9","1","11","3","8","4","6"
"20110215","3","2","10","5","12","9","8","4","6","11","1","7"
"20110216","5","11","1","4","9","7","12","2","6","3","8","10"
"20110217","9","6","10","7","8","1","12","5","11","3","2","4"
"20110218","9","7","8","11","3","4","12","1","6","5","10","2"
"20110219","11","1","7","9","4","8","2","6","10","3","5","12"
"20110220","5","6","9","8","1","11","2","12","3","4","7","10"
"20110221","7","12","3","9","10","8","6","1","2","11","5","4"
"20110222","10","2","1","8","6","7","3","9","4","5","12","11"
"20110223","11","6","9","2","7","8","4","10","5","12","1","3"
"20110224","9","1","2","4","5","12","11","8","3","7","6","10"
"20110225","10","12","11","1","9","7","6","8","5","3","4","2"
"20110226","4","9","1","7","3","12","5","6","10","11","8","2"
"20110227","5","3","2","8","12","1","10","6","4","11","7","9"
"20110228","1","7","5","10","2","4","9","3","6","12","8","11"
"20110301","8","1","5","3","2","12","10","6","11","9","7","4"
"20110302","5","4","7","10","2","1","6","11","3","8","9","12"
"20110303","2","11","1","6","7","5","10","12","3","8","4","9"
"20110304","2","9","12","3","1","5","8","10","7","6","4","11"
"20110305","12","2","3","6","1","4","11","10","8","7","5","9"
"20110306","2","3","1","5","8","7","10","12","4","11","6","9"
"20110307","6","1","9","10","11","3","2","12","7","5","8","4"
"20110308","3","10","2","6","1","4","9","5","7","8","12","11"
"20110309","5","12","3","11","1","10","6","9","8","2","4","7"
"20110310","9","6","1","10","3","11","2","4","8","5","12","7"
"20110311","6","8","3","7","10","12","4","2","1","11","5","9"
"20110312","6","5","12","7","2","11","4","8","9","10","1","3"
"20110313","1","4","7","3","5","11","8","2","10","12","9","6"
"20110314","12","10","8","7","11","6","3","4","2","9","1","5"
"20110315","1","8","9","11","7","4","3","10","5","6","12","2"
"20110316","4","9","8","6","5","11","12","3","7","10","1","2"
"20110317","4","6","9","3","7","8","10","5","12","11","2","1"
"20110318","9","7","8","2","5","6","11","4","10","1","12","3"
"20110319","3","8","6","4","12","7","1","10","11","5","9","2"
"20110320","7","12","1","11","5","9","8","3","6","10","2","4"
"20110321","10","7","8","11","9","3","1","4","5","12","2","6"
"20110322","2","12","6","9","8","11","4","7","1","5","10","3"
"20110323","3","1","5","7","12","10","11","2","4","9","8","6"
"20110324","11","6","8","9","7","4","10","5","1","2","12","3"
"20110325","8","11","2","1","5","7","4","6","9","10","12","3"
"20110326","1","9","4","3","7","5","6","12","2","11","8","10"
"20110327","6","8","12","10","11","5","3","1","2","4","9","7"
"20110328","9","6","11","8","3","5","7","1","2","12","10","4"
"20110329","11","12","9","1","8","10","3","5","2","6","7","4"
"20110330","6","4","3","2","1","11","12","8","7","9","5","10"
"20110331","1","9","2","11","7","3","6","8","12","5","4","10"
"20110401","12","10","8","11","3","1","6","5","7","2","9","4"
"20110402","8","2","10","12","5","1","6","7","11","3","4","9"
"20110403","11","12","6","8","4","1","3","10","5","2","9","7"
"20110404","3","6","12","7","9","1","4","2","10","5","8","11"
"20110405","6","8","11","1","3","5","4","12","7","10","9","2"
"20110406","2","8","9","10","6","7","11","12","5","3","1","4"
"20110407","4","7","9","12","11","3","2","1","6","5","10","8"
